words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
boy,1,0,0,3,2,7,4,1,0
boyfriend,0,1,0,0,0,0,0,0,0
bra,0,0,0,0,0,0,0,1,0
brabus,0,0,0,1,0,0,0,0,0
brace,0,0,0,0,0,0,1,0,0
bracelet,0,0,0,1,2,0,0,0,0
brad,0,0,0,0,0,0,0,1,0
brag,0,1,0,0,0,1,0,0,0
braggin,0,0,0,0,0,0,0,1,0
braid,0,0,0,0,0,0,0,0,1
braille,0,0,0,0,0,0,1,0,0
brain,0,2,0,0,1,1,0,0,0
brake,0,0,0,1,0,0,0,0,0
brand,2,1,0,0,0,0,0,0,0
branded,0,0,0,0,1,0,0,0,0
brandon,0,0,0,0,1,0,0,0,0
brandy,0,0,0,1,0,0,0,0,0
brash,0,0,0,0,1,0,0,0,0
bravado,0,0,0,0,1,0,0,0,0
bravery,0,0,0,0,1,0,0,0,0
bravo,0,1,0,0,0,0,0,0,0
brawl,0,0,0,0,0,1,0,0,0
bread,0,0,0,2,1,1,0,0,0
break,1,0,2,3,1,5,0,2,2
breakdown,0,0,0,1,0,0,0,0,0
breakfast,0,0,0,0,0,2,0,0,0
breaking,0,1,0,1,0,0,0,0,0
breakneck,0,0,0,0,0,0,1,0,0
breakup,0,0,0,0,1,0,0,0,0
breast,0,0,0,1,0,0,1,0,0
breasteses,0,0,0,0,0,1,0,0,0
breath,0,0,4,0,0,2,0,0,0
breathe,0,0,0,1,0,2,0,1,1
breathin,0,0,0,1,0,0,1,1,0
breathing,1,0,0,0,0,1,0,0,0
breathless,0,0,0,0,0,1,0,0,0
bred,1,0,0,0,0,1,0,0,0
breeze,1,0,0,0,0,0,0,0,0
